title,year,language,episode_season_duration,genre,creators,stars,official_sites,links,description,votes,rating,trailer
Smack the Pony,1999–2003,English,24min,Comedy,"Fiona Allen,Doon Mackichan,Sally Phillips",,Channel 4 (United Kingdom),http://www.channel4.com/entertainment/tv/microsites/S/smack_the_pony/index.html,"Three female comics perform sketches dealing with a wide variety of topics, from irritating flatmates to workplace issues to people who pretend to be ill to get free things or special treatment.",1900,7.7,
Dimension 20,2018– ,English,,Comedy,Brennan Lee Mulligan,"Brennan Lee Mulligan,Emily Axford,Ally Beardsley",Official site,https://www.dropout.tv/,"Welcome to the land of dragons, wizards - and guidance counselors? Game Master Brennan Lee Mulligan presents CollegeHumor's very first RPG with an '80s twist.",192000,9.3,
Harry Wild,,,,"Drama,Mystery,Thriller",David Logan,"Conor Lambert,Kevin Ryan,Jane Seymour",,,A recently retired English professor discovers a real knack for investigation and cannot help but interfere with the cases assigned to her police detective son.,0,,
The Cat in the Hat Knows a Lot About That!,2010–2018,English,26min,"Animation,Adventure,Comedy,Family,Fantasy,Musical,Sci-Fi","Martin Short,Alexa Torrington,Jacob Ewaniuk",,,,"The Cat in The Hat knows a lot about virtually every thing. With the help of fish, thing 1, and thing 2; the Cat in the Hat teaches kids about many things through song and games.",466000,6.5,https://imdb.com/video/vi232457753?playlistId=tt1699440&ref_=tt_ov_vi
Bnei Aruba,2013–2016,Hebrew,44min,"Drama,Thriller","Omri Givon,Rotem Shamir","Jonah Lotan,Tomer Capon,Nevo Kimchi",Official Facebook,https://www.facebook.com/BeniAruba10,"The night before a high profile operation on the PM, the surgeon due to perform the procedure is surprised at her family home by four masked men. The gang quickly take control of her and her family and order her to kill the PM.",1600,7.6,
Play for Today,1970–1984,English,1h 15min,"Comedy,Drama","Alison Steadman,Nigel Hawthorne,Tony Caunter",,,,A British television anthology drama series that aired on BBC1 between 1970 and 1984.,239000,7.7,
Les Norton,2019,English,55min,"Comedy,Crime,Drama",Morgan O'Neill,"Alexander Bertrand,Kate Box,Hunter Page-Lochard",,,"Les Norton follows the exploits of a country boy who has escaped a troubled past to find himself in Sydney, working as a bouncer/fixer at the city's most notorious illegal casino in 1985. A classic fish out of water, he soon finds himself seduced by the city's illicit charms and dragged deeper into the web of underground criminality.",374000,7.3,
Terapist,2021– ,Turkish,10min,"Crime,Drama,Mystery,Thriller","Muhammet Uzuner,Murat Kiliç,Zeynep Çamci",,Official Instagram,https://www.instagram.com/gainmedya/,A therapist begins to suspect his clients after the murder of his wife.,637000,7.6,
Outdaughtered,2016– ,English,42min,Reality-TV,"Adam Busby,Danielle Busby,Blayke Busby",,Link to TLC Outdaughtered page,https://www.tlcgo.com/outdaughtered/,The true life struggles and joys of raising 5 quintuplet girls.,407000,6.9,https://imdb.com/video/vi3988373529?playlistId=tt6215600&ref_=tt_ov_vi
The European Side,2004–2009,Turkish,1h,Comedy,"Gülse Birsel,Levent Üzümcü,Hale Caneroglu",,"Instagram,Offical Site","https://www.instagram.com/avrupaayakasi/,http://www.avrupayakasi.com",The life and times of rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,17000,8.5,
Press Gang,1989–1993,English,21h 30min,"Family,Comedy,Drama",Bill Moffat,"Julia Sawalha,Dexter Fletcher,Paul Reynolds",,,"A bunch of kids are to make a newspaper for the young, named ""Junior Gazette"". The series follows these kids both on job and in private.",856000,8.1,
State of Affairs,2014–2015,English,45min,"Drama,Thriller",Alexi Hawley,"Katherine Heigl,Alfre Woodard,Adam Kaufman",State of Affairs Official Site,http://www.nbc.com/state-of-affairs,"A CIA officer plucked from the field to become the president's daily briefer, assuming responsibility for targeting America's most critical threats while navigating the unique lifestyle that comes with such a high-powered job.",5700,6.4,https://imdb.com/video/vi255376665?playlistId=tt3489236&ref_=tt_ov_vi
Class,2016,English,45min,"Drama,Sci-Fi","Katherine Kelly,Greg Austin,Jordan Renzo",,BBC,http://www.bbc.co.uk/programmes/p048h1bz,"The sixth formers of Coal Hill Academy all have their own secrets and desires. They have to deal with the stresses of everyday life including friends, parents, school work, sex, and sorrow, but also the horrors that come from time travel.",4000,6.9,https://imdb.com/video/vi1333902361?playlistId=tt5079788&ref_=tt_ov_vi
Kin,,English,,"Comedy,Drama","Baz Black,Una Carroll,Maria Doyle Kennedy",,"Funding Announcement,Official Announcement.","https://nationtalk.ca/story/imaginenative-film-media-arts-festival-announces-2020-festival-award-winners,https://indigenousdigitalhumanities.wordpress.com/2020/11/19/hub-1/",Kin tells the story of a fictional Dublin family embroiled in gangland war and speaks to the enduring unbreakable bonds of blood and family.,0,,
Silvana Sin Lana,2016– ,Spanish,1h,"Comedy,Drama,Romance","Maritza Rodríguez,Marimar Vega,Valeria Menendez Rodriguez",,,,"A high society woman loses everything and has to move with her three daughters, and her mom to a middle-class neighborhood.",291000,7.5,
Shipping Wars,2012– ,English,30min,Reality-TV,"Marc Springer,Jennifer Brennan,Jarrett Joyce",,,,"Show revolves around teams of independent heavy-duty moving companies bidding for the chance to transport unshipable items, from oversized loads to bulky packages and bizarre items.",1400,6.3,https://imdb.com/video/vi53722393?playlistId=tt2128103&ref_=tt_ov_vi
The Adulterer,2011–2015,Dutch,50min,"Action,Drama","Sylvia Hoeks,Kees Prins,Guido Pollemans",,"Official site,Omroep VARA (Netherlands)","http://overspel.vara.nl/,http://omroep.vara.nl/","After a photographer and a lawyer start a steamy affair, their lives and those around them get entangled in dirty business and family secrets.",1300,7.9,
Naomi,2022– ,,,"Action,Adventure,Drama,Sci-Fi","Grayson Brooks,Donovan DeWitt,Aidan Gemme",,,,Follows a young woman and her hero's journey.,0,,
The Real Housewives of Dallas,2016–2021,English,43min,Reality-TV,Scott Dunlop,"Stephanie Hollman,Brandi Redmond,Kameron Westcott",Bravo's Website promoting RHOD,http://www.bravotv.com/the-real-housewives-of-dallas,"The Real Housewives of Dallas"" travels to the southwest with cowboy boots, class and a big dose of sass.",542000,4.9,https://imdb.com/video/vi3789799193?playlistId=tt5512352&ref_=tt_ov_vi
Shots Fired,2017,English,43min,"Crime,Drama","Reggie Rock Bythewood,Gina Prince-Bythewood","Sanaa Lathan,Stephan James,Stephen Moyer",,,"Examines the dangerous aftermath of two racially charged shootings in a small Southern town, providing an explosive autopsy of our criminal justice system.",2000,6.5,https://imdb.com/video/vi2802693657?playlistId=tt5093452&ref_=tt_ov_vi
I Survived...,2008– ,English,45min,"Documentary,Biography","Michelle Renee,Bill Spade,Josh Long",,,,"What would you do if you were confronted with death? What gives someone the strength to survive? Is it luck, chance, instinct? I Survived allows survivors to explain, in their own words, how they overcame unbelievable circumstances. The subjects describe the experience that changed their lives forever and what got them through it.",739000,8.5,
Gene Simmons: Family Jewels,2006– ,English,,Reality-TV,"Shannon Tweed,Nick Simmons,Sophie Simmons",,A&E (United States),http://www.aetv.com/shows/gene-simmons-family-jewels,"A look at the family life of rock star and Kiss front man, Gene Simmons.",2000,5.6,https://imdb.com/video/vi976665625?playlistId=tt0498617&ref_=tt_ov_vi
Elif,2014– ,Turkish,1h,"Drama,Romance","Isabella Damla Guvenilir,Selin Sezgin,Hasan Balliktas",,"Google+,Official Facebook","https://plus.google.com/u/0/115614506130820150456,https://www.facebook.com/elifdizisi/","A kind 6-year-old girl is placed under the protection of her mother's best friend, who keeps a well-hidden secret, and is a maid for a wealthy family, in whose mansion she lives.",428000,2.4,
Bette,2000–2001,English,30min,Comedy,Jeffrey Lane,"Bette Midler,James Dreyfus,Joanna Gleason",,,"Bette is a wildly successful singer with numerous hits, adoring fans, and showbiz friends who often drop by. Keeping her grounded is her professor husband Roy, best friend Connie, and her thirteen-year-old daughter Rose.",682000,6.5,
Fair City,1989– ,English,25min,Drama,"Mick Nolan,Philip Michael,Alexander Lester",,RTE (Radio Telefís Éireann),http://www.rte.ie/faircity/,The day-to-day dramas of the community who live and work in the fictional north Dublin suburb of Carrigstown.,554000,2.8,
Ask Yeniden,2015–2016,Turkish,2h,"Comedy,Romance","Özge Özpirinçci,Bugra Gülsoy,Tamer Levent",,"Official Facebook Site,Official Twitter Site","https://www.facebook.com/AskYenidenDizi,https://twitter.com/askyenidendizi","Zeynep flees to America, leaving behind his family. Zeynep returns to Turkey in the hands of the frustrations. On the other hand, Fatih returns to country. The story of these two people. Love Again.",1300,6.7,
Between Two Ferns with Zach Galifianakis,2008– ,English,4min,"Short,Comedy,Talk-Show","Scott Aukerman,BJ Porter,Zach Galifianakis","Zach Galifianakis,Jon Hamm,Bradley Cooper",,,Zach Galifinakas comically interviews various celebrites between two ferns.,7600,8.4,
Hangar 1: The UFO Files,2014–2015,,,"Mystery,Reality-TV,Sci-Fi","Dwight Equitz,Jan Harzan,Cornell Womack",,Official site,http://www.history.com/shows/hangar-1-the-ufo-files,"The files of MUFON, the Mutual UFO Network, are shared by MUFON members and UFO experts.",872000,7.2,
On the Up,1990–1992,English,30min,Comedy,"Dennis Waterman,Sam Kelly,Joan Sims",,,,"Self-made millionaire Tony Carpenter struggles his way through life, dealing with a snooty wife, troublesome daughter, opinionated mother and quirky domestic staff.",155000,7.5,
Mushishi: Zoku-Sho,2014– ,Japanese,24min,"Animation,Drama,Fantasy,Mystery,Thriller","Mika Doi,Yûto Nakano,Daisuke Kishio",,Official site (Japan),http://www.mushishi-anime.com/,"They existed long before anyone can remember. They are simple and strange in nature, not resembling any other plant or animal in this world. In ancient times, people revered these bizarre creatures and called them ""Mushi."" People once again began to believe in the existence of these ""Mushi"" when they began affecting their lives in inexplicable ways. The one who connec...",2400,8.9,
No Time for Sergeants,1964–1965,English,30min,Comedy,"Sammy Jackson,Harry Hickox,Kevin O'Neal",,,,Will Stockdale is an innocent soldier who doesn't always get sarcasm and takes things literally. His best friend at Oliver Air Base is Ben and together they are usually on the wrong side of their Sgt King. When not in trouble he spends time with his pretty girlfriend Milly.,51000,6.9,
The Catherine Tate Show,2004–2009,English,30min,Comedy,"Catherine Tate,Mathew Horne,Niky Wardley",,,,Sketches by Catherine Tate and her comedy troupe.,3500,7.3,
New Warriors,,"French,English",30min,"Action,Adventure,Comedy,Crime,Fantasy,Mystery,Sci-Fi,Thriller","Nathan Barnatt,Chloe Coleman,Kate Comer",,,,The adventures of a team of teenage superheroes.,0,,https://imdb.com/video/vi1341962777?playlistId=tt6742558&ref_=tt_ov_vi
Love & War,1992–1995,English,30min,"Comedy,Romance",Diane English,"Jay Thomas,Joanna Gleason,Joel Murray",,,"A comedy about a woman running a bar/restaurant in New York City while maintaining a tempestuous romance with an egotistical opinion columnist. Other comedic elements include the bar's regular patrons, the restaurant's chef, and a neurotic waitress waiting for her husband to get out of prison.",161000,6.7,
Sick of It,2018– ,"English,Polish",30min,"Comedy,Drama","Karl Pilkington,Richard Yee","Karl Pilkington,Sondra James,Marama Corlett",,,"Sick of It is a scripted comedy series that sees Karl Pilkington take on two roles - himself, and the voice inside his head, as he muddles through the mundane life he may have led if he hadn't met Ricky Gervais and Stephen Merchant.",2000,7.5,
Pixar Popcorn,2021– ,English,19min,"Animation,Short,Comedy,Family","Keegan-Michael Key,Craig T. Nelson,Jordan Peele",,Disney+,https://www.disneyplus.com/series/pixar-popcorn/6myHSsSy2nB8,"Next, grab a quick snack with Pixar Popcorn, a collection of mini shorts starring some of your favorite Pixar characters in all-new, bite size stories.",1400,6.6,https://imdb.com/video/vi1300021529?playlistId=tt13634444&ref_=tt_ov_vi
Zbrodnia,2014– ,"Polish,Hungarian,Czech,Romanian",1h,"Action,Crime","Magdalena Boczarska,Wojciech Cyplik,Dorota Kolak",,"AXN Poland - official page,Facebook - official page","http://www.axn.pl/programy/zbrodnia,https://www.facebook.com/ZbrodniaAXN",The peaceful lives of the residents inhabiting a seaside town are shaken following a series of macabre crimes.,527000,6.2,
Graves,2016– ,English,30min,Comedy,Joshua Michael Stern,"Nick Nolte,Skylar Astin,Heléne Yorke",,,"Former President Richard Graves has the epiphany, twenty years after leaving office, that his policies have damaged the country for decades. This, as his wife, the former First Lady, has political ambitions of her own.",1100,6.6,https://imdb.com/video/vi533706265?playlistId=tt4866982&ref_=tt_ov_vi
Transformers: Rescue Bots,2011–2016,English,20min,"Animation,Short,Action,Adventure,Comedy,Family,Sci-Fi","Nicole Dubuc,Brian Hohlfeld,Jeff Kline","Lacey Chabert,Elan Garfias,Maurice LaMarche",,,The Rescue Bots are Transformers that work with a family of heroes to rescue humans from disasters. These non-violent Transformer stories were aimed at pre-school viewers.,781000,6.5,https://imdb.com/video/vi2466948121?playlistId=tt2139371&ref_=tt_ov_vi
The Dean Martin Show,1965–1974,,,"Comedy,Music","Dean Martin,The Dingaling Sisters,Ken Lane",,,,"Dean Martin hosts, with several celebrities as guests. There are musical acts and comedy sketches that break down comedy, racial, and sexual barriers all at the same time.",1200,8.2,https://imdb.com/video/vi2481700121?playlistId=tt0058797&ref_=tt_ov_vi
Voltron: Defender of the Universe,1984–1985,English,24min,"Animation,Family,Sci-Fi","Jack Angel,Michael Bell,Peter Cullen",,"Official site,World Events Productions","http://www.voltron.com/,http://www.wep.com/Voltron.htm",This series focuses on five lion robots and their pilots as they fight the evil forces of King Zarkon and Prince Lotor.,4400,7.9,https://imdb.com/video/vi2391129369?playlistId=tt0086824&ref_=tt_ov_vi
Lenox Hill,2020,English,,Documentary,"John Boockvar,David Langer,Amanda Little-Richardson",,,,"An intimate look at the lives of four doctors - two brain surgeons, an emergency room physician, and a Chief Resident OBGYN - as they navigate the highs and lows of working at the renowned Lenox Hill Hospital in New York City.",2000,8.7,https://imdb.com/video/vi1799011865?playlistId=tt12190580&ref_=tt_ov_vi
The Whitest Kids U'Know,2007–2011,English,15min,Comedy,"Sam Brown,Zach Cregger,Trevor Moore","Trevor Moore,Sam Brown,Zach Cregger","Official Facebook,Official MySpace","https://www.facebook.com/whitestkids,http://www.myspace.com/whitestkids",A sketch comedy show involving five friends.,4700,8.5,https://imdb.com/video/vi1775305753?playlistId=tt0840979&ref_=tt_ov_vi
Sanjay and Craig,2013–2016,English,23min,"Animation,Adventure,Comedy,Family","Jay Howell,James Dirschberger,Andreas Trolf","Maulik Pancholy,Chris Hardwick,Grey Griffin","Official Site AU,Official Site DE","http://www.nick.com.au/shows/sanjayandcraig/la2w44,http://www.nick.de/shows/1527-sanjay-craig",The always odd and often gross-out adventures of a young boy named Sanjay Patel and his talking pet snake Craig.,2300,4.4,
Sungkyunkwan Scandal,2010,Korean,1h 10min,"Comedy,Drama,History,Romance","Park Min-Young,Yoo-chun Park,Yoo Ah-in",,Official site (South Korea),http://www.kbs.co.kr/drama/scandal/,"In the Joseon era, Kim Yoon-hee masquerades as a boy to earn a living as a book transcriber. Her family's dire circumstances and the encouragement of a noble's son finally drive her to attend Sungkyukwan University, forbidden for females.",1400,7.8,
Cardcaptor Sakura,1998–2000,Japanese,30min,"Animation,Action,Adventure,Comedy,Drama,Fantasy,Romance","Sakura Tange,Huyen Chi,Andrea Kwan",,,,"Sakura stumbled upon the book of Clow Cards in a library. Accidentally setting the magical cards loose, it's now up to Sakura to catch them all with her best friend Tomoyo, and Kerberos, the guardian of the cards.",4500,8.0,https://imdb.com/video/vi3770417433?playlistId=tt0221735&ref_=tt_ov_vi
CBS Schoolbreak Special,1984–1996,English,,"Adventure,Comedy,Drama,Family,Romance","Monica Calhoun,Tammy Lauren,Nick Angotti",,,,"CBS late afternoon specials designed for middle school and high school students, dramatizing issues affecting teenagers.",220000,6.9,
Professor T.,2017– ,German,,"Crime,Drama,Mystery,Thriller",Paul Piedfort,"Matthias Matschke,Andreas Helgi Schmid,Julia Bremermann",,,"About a man who, in his own words, is not Sherlock Holmes - but a scientist.",259000,6.9,
Deadpool,2013,English,11min,"Action,Comedy,Fantasy,Sci-Fi","Damian Vargas,Mandy Evans,Andrea-Nichole Olivas",,,,Deadpool is hired and smitten by the enigmatically psychotic Typhoid Mary. But who is his target?,452000,5.5,
María la del barrio,1995–1996,Spanish,45min,"Drama,Romance","Thalía,Fernando Colunga,Irán Eory",,,,"A brave, poor young girl is welcomed into a rich family and develops a romance with their misogynist youngest son, driving a woman already in love with him to go to great lengths to destroy their relationship.",1400,7.3,
Kirstie,2013–2014,English,30min,Comedy,Marco Pennette,"Kirstie Alley,Eric Petersen,Michael Richards",,,"The son of a Broadway star, who was given up for adoption 26 years ago, tries to connect with his birth mother after his adopted mother dies.",803000,5.0,
Werewolf,1987–1988,English,30min,"Horror,Thriller",Frank Lupo,"John J. York,Lance LeGault,Chuck Connors",,,"Young Eric has been bitten by a werewolf. However, he's not particularly thrilled by this turn of affairs and wishes to escape his curse. To do so, he must find and kill the founder of his particular werewolf clan. The series traces his efforts to (A) track down the founder; (B) keep from hurting innocent lives due to his lycanthropy; and (C) stay one step ahead of fo...",803000,7.9,
The Circle,2018–2021,English,1h,"Game-Show,Reality-TV","Sophie Willan,Manrika Khaira,Hashu Mohammed",,"Official Facebook,Official site","https://www.facebook.com/C4TheCircle,https://www.channel4.com/programmes/the-circle",The original British version of the reality television format in which people from all walks of life compete in a popularity contest via a social media platform to win a cash prize.,1000,7.0,
I'm in the Band,2009–2011,English,30min,"Comedy,Family,Music","Michael B. Kaplan,Ron Rappaport","Logan Miller,Steve Valentine,Stephen Full",,,A teenager becomes lead guitarist for his favorite washed up rock band trying to make a comeback. They let him be lead guitarist in exchange for letting them live in his house in the suburbs.,2200,6.6,
Still Star-Crossed,2017,English,43min,Drama,Heather Mitchell,"Grant Bowler,Wade Briggs,Torrance Coombs",,,"A period drama that picks up where the famous story of Romeo and Juliet leaves off, charting the treachery, palace intrigue, and ill-fated romances of the Montagues and Capulets in the wake of the young lovers' tragic fate. Based on the book by Melinda Taub.",1600,5.6,https://imdb.com/video/vi170245401?playlistId=tt5165412&ref_=tt_ov_vi
The Story of God with Morgan Freeman,2016–2019,"English,Arabic,French,Italian,Hebrew,Amharic",1h,"Documentary,Adventure,History","Morgan Freeman,Mark Bozzuti-Jones,Amir Hussain",,National Geographic,https://www.nationalgeographic.com/tv/shows/the-story-of-god-with-morgan-freeman,"Morgan Freeman presents his quest in order to find how most religions perceive life after death, what different civilizations thought about the act of creation and other big questions that mankind has continuously asked.",4700,7.9,https://imdb.com/video/vi1052949785?playlistId=tt5242220&ref_=tt_ov_vi
Napoleon Dynamite,2012,English,30min,"Animation,Comedy","Jared Hess,Jerusha Hess,Mike Scully","Jon Heder,Aaron Ruell,Efren Ramirez",,,Follows the misadventures of an awkward high school teenager and his quirky friends as they struggle to navigate life in rural Idaho.,2900,6.4,https://imdb.com/video/vi3615669529?playlistId=tt1743880&ref_=tt_ov_vi
Annika,,English,,Drama,"Jamie Sives,Nicola Walker,Saskia Ashdown",,Press release,https://corporate.uktv.co.uk/news/article/uktv-tv-adaptation-radio-4-drama-annika-alibi/,"The sharp, witty and enigmatic DI Annika Strandhed, as she heads up a new specialist Marine Homicide Unit (MHU) that is tasked with investigating the unexplained, brutal, and seemingly unfathomable murders.",0,,
American Monster,2016– ,English,,"Documentary,Crime,Drama","Tom Streithorst,Grant Ross,Mark Behan",,website,http://www.arrowmedia.com/,"A non-fiction crime drama uniquely telling stories with a combination of Dramatisation, home video and documentary style material.",396000,7.5,https://imdb.com/video/vi1366736153?playlistId=tt5784958&ref_=tt_ov_vi
Dark Skies,1996–1997,English,1h,"Adventure,Drama,Mystery,Sci-Fi","Brent V. Friedman,Bryce Zabel","Eric Close,J.T. Walsh,Lackos",,,"In 1960s America, a young couple struggle to expose the truth about a hidden alien invasion, while a secret government organization follows its own agenda in dealing with the threat.",1900,7.7,
Mugen no jûnin: Immortal,2019– ,Japanese,,"Animation,Action,Fantasy","Kenjirô Tsuda,Ayane Sakura,Tatsuhisa Suzuki",,Official site (Japan),https://mugen-immortal.com/,"A young girl named Rin seeks to avenge her parents, who were ruthlessly killed by a group of master swordsmen, with the help of cursed samurai Manji, who is seemingly immortal.",694000,7.6,
The Oprah Winfrey Show,1986–2011,English,1h,"News,Talk-Show","Oprah Winfrey,Nate Berkus,Gayle King",,Online with Oprah,http://www.oprah.com/,Oprah Winfrey hosts a live audience talk-show with celebrity guests and discusses daily stories.,4700,5.0,https://imdb.com/video/vi3757506841?playlistId=tt0090493&ref_=tt_ov_vi
Flea Market Flip,2012– ,English,30min,Reality-TV,"Lara Spencer,Justin Krzyston,Vanessa Jova",,,,Contestants buy and repurpose flea market finds to earn a profit.,332000,6.7,
The Characters,2016,English,30min,Comedy,"John T. Reynolds,Kate Berlant,John Early",,,,No rules. No expectations. A half hour to make their mark. Eight different comedians each get an episode to show their skills in comedy.,729000,5.4,https://imdb.com/video/vi3940594969?playlistId=tt5228026&ref_=tt_ov_vi
Project 9191,2021– ,Hindi,,"Action,Thriller","Abhishekh Khan,Jishnu Chatterjee,Sandeep Kumaar",,,,"A special team led by DCP Amitabh Sinha, based in Mumbai, is working towards stopping crimes. Stopping crimes before they can happen.",321000,5.7,https://imdb.com/video/vi272613401?playlistId=tt14270630&ref_=tt_ov_vi
Dragons: Rescue Riders,2019– ,,24min,"Animation,Adventure,Comedy,Fantasy","Noah Kaye Bentley,Brennley Brown,Zach Callison",,,,Twins Dak and Leyla share a unique ability to communicate with dragons. The brother and sister lead a team of five young dragons that spend their days rescuing other dragons and helping the people in their adopted town of Huttsgalor.,218000,6.1,https://imdb.com/video/vi1468186393?playlistId=tt10687134&ref_=tt_ov_vi
Some Girls,2012–2014,English,30min,Comedy,"Adelayo Adedayo,Natasha Jonas,Alice Felgate",,,,"Girls struggle with relationships, friendships and teachers at school.",1600,7.7,
The Making of the Mob,2015–2016,English,5h 43min,"Documentary,Crime,History","Ian Bell,Craig Thomas Rivela,Rich Graff",,,,"Making of the Mob, is an eight-part docudrama that begins in 1905 and spans more than 50 years, tracing the original five families that led to the modern American Mafia, including the rise of Charles Lucky Luciano, Meyer Lansky and Benjamin Bugsy Siegel.",2300,7.9,https://imdb.com/video/vi1162852121?playlistId=tt4484722&ref_=tt_ov_vi
Little Bear,1995–2003,English,24min,"Animation,Adventure,Family,Fantasy","Else Holmelund Minarik,Maurice Sendak","Kristin Fairlie,Andrew Sabiston,Jennifer Martini",Viacom,http://www.nickjr.com/littlebear/index.html,"Based upon a series of children's books, a grizzly cub has many misadventures with his friends.",3400,7.3,https://imdb.com/video/vi2834080793?playlistId=tt0245637&ref_=tt_ov_vi
Sell This House,2003– ,English,,Reality-TV,"Tanya Memme,Roger Hazard,Merrilee McCommas",,,,Sell This House is a reality television series that started airing on the A&E television network in 2003. Host Tanya Memme and designer/home stager Roger Hazard help homeowners who are having trouble selling their houses.,170000,6.8,
The Walking Dead: Webisodes,2011–2013,English,8min,"Short,Drama,Horror,Sci-Fi,Thriller","Rick Otto,Lilli Birdsell,Josh Stewart",,,,"A web-series spin-off of ""The Walking Dead.""",4000,7.9,
Rev.,2010–2014,English,30min,Comedy,"James Wood,Tom Hollander","Tom Hollander,Olivia Colman,Steve Evets",,,"The misadventures of an Anglican vicar, his wife, and a small but odd group of parishioners in London.",2100,7.9,
The Hard Times of RJ Berger,2010– ,English,30min,Comedy,"Seth Grahame-Smith,David Katzenberg","Paul Iacono,Jareb Dauplaise,Kara Taitz",Official site,http://www.mtv.com/shows/hard_times/series.jhtml?kw=sem/g/the+hard+times+of+rj+berger/,The daily life of an unpopular high school student.,5600,7.4,
Hitori No Shita - The Outcast,2015–2020,Japanese,,"Animation,Fantasy",,,,,"Cho Soran leads a normal college student's life until he finds himself caught up in a horrible incident that happened in a small village. As he was walking through a graveyard, Cho Soran is attacked by zombies. Thinking that it was over for him, a mysterious girl wielding a sword suddenly saves him and vanishes. This strange encounter is going to drastically change th...",86000,7.4,
Bachelor in Paradise,2014– ,English,42min,"Reality-TV,Romance","Chris Harrison,Wells Adams,Carly Waddell",,Official site,https://abc.go.com/shows/bachelor-in-paradise,Contestants from the Bachelor and Bachelorette from previous seasons have another chance to fall in love in Bachelor in Paradise with other previous contestants.,1400,5.2,https://imdb.com/video/vi2823796505?playlistId=tt3780132&ref_=tt_ov_vi
Rederiet,1992–2002,Swedish,45min,Drama,"Louise Boije af Gennäs,Peter Emanuel Falck","Bert-Åke Varg,Johannes Brost,Hans V. Engström",Sveriges Television (SVT) (archived) (Sweden),https://rederiet.000webhostapp.com/,"""Rederiet"" is one of the most successful and longest running series in Swedish television history. The story is about a shipping company which conducts passenger traffic on the Baltic sea between Stockholm in Sweden and Åbo in Finland. The story takes place both in Stockholm (mostly in the office of the company) and on board the ship m/s Freja. The company (Dahlénrede...",1100,6.4,
Age of the Living Dead,2018– ,English,1h,"Action,Horror,Sci-Fi,Thriller",Simon Phillips,"Nicola Posener,Norman Black,Deji LaRay","Amazon Prime,Official Facebook","https://www.amazon.com/Episode-1-6/dp/B07X7J3W3J/ref=sr_1_1?keywords=age+of+the+living+dead&qid=1567465293&s=gateway&sr=8-1,https://www.facebook.com/ageofthelivingdead","In an America quarantined by the rest of the world, humans and vampires co-exist on opposite coasts thanks to a peace treaty, while each side plots to destroy the other.",605000,4.9,https://imdb.com/video/vi2985148185?playlistId=tt5338744&ref_=tt_ov_vi
Ufak Tefek Cinayetler,2017–2018,Turkish,2h,"Action,Crime,Drama,Mystery","Gökçe Bahadir,Aslihan Gürbüz,Mert Firat",,"Facebook,Instagram","https://www.facebook.com/ufaktefekcinayetlerstartv,https://www.instagram.com/ufaktefekcinayetler",Three girls in high school made a prank on the fourth girl and caused her to be expelled from the high school with her teacher. After 20 years they got together in a high society environment.,2400,7.4,https://imdb.com/video/vi2656680985?playlistId=tt7535994&ref_=tt_ov_vi
Men in Black: The Series,1997–2001,English,25min,"Animation,Action,Comedy,Family,Mystery,Sci-Fi","Duane Capizzi,Jeff Kline,Richard Raynis","Keith Diamond,Charles Napier,Patrick Pinney",Official site,http://web.archive.org/web/19981205180944/http://www.meninblack.com/theseries/,The continuing adventures of Agents K and J as they deal with problems with extraterrestrials in New York City.,3400,6.8,
Power Rangers Ninja Storm,2003–2004,English,30min,"Action,Adventure,Sci-Fi","Pua Magasiva,Sally Martin,Glenn McMillan",,Disney,http://psc.disney.go.com/abcnetworks/toondisney/abckids/power_rangers/index.html,A trio of ninja trainees become Power Rangers to defend their school after it is attacked by aliens.,2300,6.4,
October Road,2007–2008,English,43min,"Comedy,Drama,Romance","Josh Appelbaum,André Nemec,Scott Rosenberg","Bryan Greenberg,Laura Prepon,Warren Christie",ABC.com,http://abc.go.com/shows/october-road,An author returns to his hometown to face the people whom he based his book on.,4300,7.4,https://imdb.com/video/vi1919533337?playlistId=tt0756573&ref_=tt_ov_vi
Blandings,2013–2014,English,30min,Comedy,"Timothy Spall,Jennifer Saunders,Jack Farthing",,,,"P.G. Wodehouse's beloved Blandings Castle stories follow the foibles of an eccentric aristocrat, his peculiar family, and the ramshackle ancestral home they share.",1100,7.1,https://imdb.com/video/vi818785305?playlistId=tt2211457&ref_=tt_ov_vi
Animorphs,1998–2000,English,30min,"Fantasy,Sci-Fi,Thriller",Katherine Applegate,"Shawn Ashmore,Brooke Nevin,Boris Cabrera",Scholastic Productions,http://www.scholastic.com/animorphs/,Five kids and an alien with the ability to turn into any beast they touch vs. an army of parasitic aliens who are slowly infiltrating Earth.,1200,6.6,https://imdb.com/video/vi263651609?playlistId=tt0154147&ref_=tt_ov_vi
The New Andy Griffith Show,1971,English,30min,Comedy,"Andy Griffith,Lee Meriwether,Ann Morgan Guilbert",,,,"After working for several years in the state capital for the government, Andy Sawyer learns that the mayor of his hometown is retiring from the position and is looking for an appointee to fill in for the rest of the term. Thinking it sounds like a good deal, Andy packs up and moves back home to Greenwood with his wife and two children to become the new mayor of the sl...",82000,6.4,
